genes	t	S	N	dNdS	dN	dS
XP_015761149.1_aten_0.1.m1.23526.m1	0.5129	197.6	657.4	0.4656	0.1351	0.2902
XP_015761150.1_aten_0.1.m1.23534.m1	0.0912	136.6	376.4	0.0010	0.0001	0.1139
XP_015761153.1_aten_0.1.m1.10664.m1	0.0925	158.3	504.7	0.2498	0.0179	0.0719
XP_015761155.1_aten_0.1.m1.10660.m1	0.2275	108.5	341.5	1.1954	0.0789	0.0660
XP_015761163.1_aten_0.1.m1.10663.m1	0.1030	113.3	417.7	0.0781	0.0098	0.1248
XP_015761174.1_aten_0.1.m1.10657.m1	0.2315	349.1	943.9	0.5387	0.0627	0.1164
XP_015761176.1_aten_0.1.m1.10650.m1	0.1796	280.8	841.2	0.2194	0.0317	0.1443
XP_015761177.1_aten_0.1.m1.10651.m1	0.2082	383.0	865.0	0.5574	0.0558	0.1001
XP_015761178.1_aten_0.1.m1.10652.m1	0.2598	281.8	807.2	0.5270	0.0703	0.1333
XP_015761195.1_aten_0.1.m1.23529.m1	0.1448	182.3	654.7	0.1931	0.0253	0.1308
XP_015761196.1_aten_0.1.m1.23528.m1	0.1877	94.1	298.9	0.4712	0.0493	0.1047
XP_015761199.1_aten_0.1.m1.23538.m1	0.1477	309.1	902.9	0.2499	0.0279	0.1116
XP_015761200.1_aten_0.1.m1.23543.m1	0.1125	136.4	361.6	0.0217	0.0028	0.1295
XP_015761205.1_aten_0.1.m1.12784.m1	0.1265	111.7	317.3	0.5027	0.0335	0.0667
XP_015761213.1_aten_0.1.m1.12809.m1	0.3977	143.8	549.2	0.5450	0.1130	0.2073
XP_015761216.1_aten_0.1.m1.34927.m1	50.0000	318.3	1010.7	0.0103	0.6945	
XP_015761218.1_aten_0.1.m1.12833.m1	0.1225	347.9	876.1	0.0799	0.0096	0.1196
XP_015761232.1_aten_0.1.m1.12776.m1	0.2605	175.3	451.7	0.6447	0.0752	0.1167
XP_015761238.1_aten_0.1.m1.12801.m1	0.3946	278.6	795.4	0.2642	0.0764	0.2890
XP_015761241.1_aten_0.1.m1.12817.m1	0.1372	274.3	883.7	0.4176	0.0344	0.0823
XP_015761243.1_aten_0.1.m1.12810.m1	0.1122	162.6	482.4	0.3012	0.0236	0.0784
XP_015761246.1_aten_0.1.m1.12807.m1	0.1091	105.9	314.1	0.1688	0.0162	0.0961
XP_015761256.1_aten_0.1.m1.12819.m1	0.4757	119.7	444.3	0.5557	0.1356	0.2440
XP_015761280.1_aten_0.1.m1.22170.m1	0.0958	456.7	1499.3	0.1801	0.0155	0.0859
XP_015761286.1_aten_0.1.m1.22148.m1	0.1286	116.7	387.3	0.1956	0.0220	0.1123
XP_015761287.1_aten_0.1.m1.22142.m1	0.1398	251.9	792.1	0.2029	0.0239	0.1179
XP_015761303.1_aten_0.1.m1.22149.m1	0.0999	193.4	556.6	0.1150	0.0112	0.0970
XP_015761305.1_aten_0.1.m1.22151.m1	0.0738	213.0	462.0	0.1985	0.0108	0.0545
XP_015761308.1_aten_0.1.m1.22146.m1	0.1848	194.4	525.6	0.3957	0.0436	0.1102
XP_015761315.1_aten_0.1.m1.22150.m1	0.0685	154.2	436.8	0.4163	0.0167	0.0402
XP_015761316.1_aten_0.1.m1.22141.m1	0.1438	178.1	463.9	0.3809	0.0330	0.0867
XP_015761318.1_aten_0.1.m1.22140.m1	0.1414	184.6	505.4	0.3892	0.0332	0.0853
XP_015761319.1_aten_0.1.m1.22139.m1	0.2028	232.1	865.9	0.3523	0.0487	0.1382
XP_015761329.1_aten_0.1.m1.7197.m1	0.1687	886.0	2465.0	0.1877	0.0262	0.1397
XP_015761330.1_aten_0.1.m1.35520.m1	7.4320	96.2	254.8	0.0680	0.5207	7.6620
XP_015761332.1_aten_0.1.m1.7190.m1	0.2606	613.5	1858.5	0.4085	0.0639	0.1564
XP_015761334.1_aten_0.1.m1.7178.m1	0.6838	268.6	844.4	0.4357	0.1737	0.3986
XP_015761339.1_aten_0.1.m1.18700.m1	0.1576	155.9	453.1	0.5956	0.0447	0.0751
XP_015761347.1_aten_0.1.m1.7196.m1	0.0866	224.3	474.7	0.2587	0.0150	0.0581
XP_015761350.1_aten_0.1.m1.7198.m1	0.0598	202.3	577.7	0.2909	0.0122	0.0420
XP_015761354.1_aten_0.1.m1.7187.m1	0.1112	156.7	452.3	0.1297	0.0136	0.1048
XP_015761355.1_aten_0.1.m1.7182.m1	0.0448	145.5	346.5	0.0675	0.0029	0.0435
XP_015761361.1_aten_0.1.m1.16638.m1	0.4900	211.8	631.2	0.4033	0.1191	0.2952
XP_015761363.1_aten_0.1.m1.7176.m1	0.1683	229.3	724.7	0.4015	0.0413	0.1029
XP_015761364.1_aten_0.1.m1.7177.m1	0.1130	206.4	561.6	0.0423	0.0053	0.1257
XP_015761369.1_aten_0.1.m1.11853.m1	0.5859	283.3	895.7	0.4983	0.1573	0.3156
XP_015761373.1_aten_0.1.m1.11852.m1	0.1433	533.9	1776.1	0.2163	0.0260	0.1202
XP_015761374.1_aten_0.1.m1.11851.m1	0.3869	210.5	803.5	0.4038	0.0987	0.2444
XP_015761377.1_aten_0.1.m1.14891.m1	0.0928	107.9	384.1	0.1054	0.0108	0.1026
XP_015761378.1_aten_0.1.m1.11838.m1	0.2562	74.2	282.8	0.2098	0.0479	0.2284
XP_015761384.1_aten_0.1.m1.11832.m1	0.2492	207.4	698.6	0.3533	0.0585	0.1657
XP_015761385.1_aten_0.1.m1.11829.m1	0.1500	410.8	1158.2	0.0722	0.0115	0.1587
XP_015761386.1_aten_0.1.m1.11821.m1	0.4103	230.7	666.3	0.5885	0.1159	0.1970
XP_015761404.1_aten_0.1.m1.11848.m1	0.4164	659.4	2130.6	0.4711	0.1097	0.2329
XP_015761410.1_aten_0.1.m1.11847.m1	0.0905	149.4	321.6	0.0826	0.0067	0.0808
XP_015761413.1_aten_0.1.m1.11845.m1	0.1503	194.9	717.1	0.2275	0.0290	0.1276
XP_015761420.1_aten_0.1.m1.11840.m1	0.0851	317.4	909.6	0.2479	0.0159	0.0641
XP_015761426.1_aten_0.1.m1.12788.m1	0.1331	162.6	377.4	0.2830	0.0252	0.0889
XP_015761427.1_aten_0.1.m1.11846.m1	0.1242	216.1	647.9	0.3984	0.0301	0.0754
XP_015761436.1_aten_0.1.m1.11833.m1	0.1800	233.7	753.3	0.3689	0.0427	0.1157
XP_015761438.1_aten_0.1.m1.11828.m1	0.2462	96.4	356.6	0.2738	0.0525	0.1916
XP_015761440.1_aten_0.1.m1.11830.m1	0.1560	187.4	682.6	0.2673	0.0327	0.1223
XP_015761441.1_aten_0.1.m1.16632.m1	0.1710	542.6	1428.4	0.3634	0.0385	0.1058
XP_015761443.1_aten_0.1.m1.18804.m1	0.0966	476.0	1231.0	0.0393	0.0041	0.1048
XP_015761445.1_aten_0.1.m1.18808.m1	0.1023	258.1	680.9	0.1750	0.0149	0.0849
XP_015761447.1_aten_0.1.m1.18813.m1	0.0903	472.9	1177.1	0.0777	0.0068	0.0880
XP_015761451.1_aten_0.1.m1.18810.m1	0.1376	91.9	334.1	0.0969	0.0152	0.1572
XP_015761455.1_aten_0.1.m1.18820.m1	0.2629	310.6	910.4	0.4396	0.0662	0.1505
XP_015761456.1_aten_0.1.m1.24542.m1	50.0000	187.6	613.4	0.0035	0.2431	
XP_015761466.1_aten_0.1.m1.34565.m1	0.1555	182.8	594.2	0.2658	0.0314	0.1182
XP_015761468.1_aten_0.1.m1.34559.m1	0.3322	253.7	715.3	0.2906	0.0676	0.2325
XP_015761469.1_aten_0.1.m1.34554.m1	0.2196	644.8	1956.2	0.4650	0.0569	0.1225
XP_015761470.1_aten_0.1.m1.34555.m1	0.0753	388.5	1393.5	0.0813	0.0072	0.0891
XP_015761471.1_aten_0.1.m1.34546.m1	0.3157	402.3	1352.7	0.3558	0.0744	0.2090
XP_015761485.1_aten_0.1.m1.11358.m1	0.1649	215.9	684.1	0.6385	0.0484	0.0758
XP_015761491.1_aten_0.1.m1.34560.m1	0.1936	385.9	1315.1	0.3330	0.0444	0.1332
XP_015761492.1_aten_0.1.m1.34561.m1	0.1398	145.5	295.5	0.2599	0.0240	0.0925
XP_015761493.1_aten_0.1.m1.34562.m1	0.0742	112.4	328.6	0.0767	0.0061	0.0792
XP_015761494.1_aten_0.1.m1.34556.m1	0.1393	292.4	796.6	0.2621	0.0264	0.1009
XP_015761497.1_aten_0.1.m1.34557.m1	0.1403	266.5	624.5	0.2776	0.0263	0.0947
XP_015761498.1_aten_0.1.m1.34553.m1	0.1162	449.2	1443.8	0.2420	0.0222	0.0918
XP_015761509.1_aten_0.1.m1.34547.m1	0.3860	86.9	315.1	0.4126	0.0984	0.2384
XP_015761510.1_aten_0.1.m1.34549.m1	0.0810	383.7	876.3	0.1668	0.0107	0.0642
XP_015761512.1_aten_0.1.m1.34537.m1	0.1148	362.0	901.0	0.1692	0.0159	0.0940
XP_015761513.1_aten_0.1.m1.34540.m1	0.1837	278.0	820.0	0.2337	0.0334	0.1431
XP_015761514.1_aten_0.1.m1.34543.m1	0.1889	494.7	1392.3	0.3757	0.0438	0.1167
XP_015761518.1_aten_0.1.m1.34534.m1	0.1347	240.4	641.6	0.3077	0.0278	0.0905
XP_015761524.1_aten_0.1.m1.28993.m1	0.4018	265.8	892.2	0.3984	0.0995	0.2497
XP_015761529.1_aten_0.1.m1.29005.m1	0.1930	379.3	1417.7	0.1876	0.0336	0.1791
XP_015761530.1_aten_0.1.m1.29008.m1	0.1351	3850.3	10603.7	0.4170	0.0328	0.0787
XP_015761537.1_aten_0.1.m1.28973.m1	0.1409	871.2	2581.8	0.4388	0.0355	0.0809
XP_015761552.1_aten_0.1.m1.28975.m1	0.1401	241.0	863.0	0.5394	0.0394	0.0730
XP_015761555.1_aten_0.1.m1.28972.m1	0.0740	271.9	697.1	0.0565	0.0043	0.0768
XP_015761557.1_aten_0.1.m1.14878.m1	0.1046	244.7	706.3	0.1349	0.0132	0.0975
XP_015761568.1_aten_0.1.m1.28987.m1	0.1131	400.0	1088.0	0.1391	0.0141	0.1017
XP_015761573.1_aten_0.1.m1.28990.m1	0.1444	91.6	160.4	0.5594	0.0374	0.0669
XP_015761576.1_aten_0.1.m1.28991.m1	0.1763	280.8	865.2	0.5720	0.0497	0.0868
XP_015761585.1_aten_0.1.m1.29003.m1	0.1107	1481.1	3918.9	0.2449	0.0200	0.0816
XP_015761586.1_aten_0.1.m1.29002.m1	0.0780	366.0	921.0	0.2586	0.0143	0.0554
XP_015761591.1_aten_0.1.m1.29011.m1	0.0432	329.9	897.1	0.1093	0.0045	0.0413
XP_015761598.1_aten_0.1.m1.29532.m1	0.2130	1285.3	4036.7	0.4428	0.0544	0.1229
XP_015761601.1_aten_0.1.m1.29528.m1	0.2626	424.4	1480.6	0.2987	0.0575	0.1924
XP_015761605.1_aten_0.1.m1.29522.m1	0.4005	245.4	729.6	1.0519	0.1352	0.1285
XP_015761620.1_aten_0.1.m1.29527.m1	0.2152	111.4	320.6	0.6049	0.0614	0.1015
XP_015761622.1_aten_0.1.m1.29525.m1	0.1362	88.2	223.8	0.2235	0.0229	0.1025
XP_015761623.1_aten_0.1.m1.16601.m1	0.1367	513.3	1298.7	0.2841	0.0266	0.0936
XP_015761632.1_aten_0.1.m1.20997.m1	0.0980	310.7	1021.3	0.0398	0.0049	0.1238
XP_015761633.1_aten_0.1.m1.20992.m1	0.1369	393.6	1058.4	0.4395	0.0339	0.0772
XP_015761634.1_aten_0.1.m1.20991.m1	0.1247	382.1	1027.9	0.2371	0.0222	0.0937
XP_015761637.1_aten_0.1.m1.20996.m1	0.3067	252.6	656.4	0.3133	0.0635	0.2028
XP_015761638.1_aten_0.1.m1.20993.m1	0.3071	134.0	349.0	1.5426	0.1134	0.0735
XP_015761641.1_aten_0.1.m1.24039.m1	0.3530	214.6	760.4	0.3926	0.0878	0.2235
XP_015761650.1_aten_0.1.m1.24006.m1	0.4197	115.2	412.8	0.3233	0.0960	0.2970
XP_015761653.1_aten_0.1.m1.36796.m1	0.1199	1639.2	4459.8	0.1854	0.0183	0.0988
XP_015761656.1_aten_0.1.m1.36791.m1	0.1571	486.9	1433.1	0.5782	0.0442	0.0764
XP_015761659.1_aten_0.1.m1.36779.m1	0.3308	276.1	917.9	0.3606	0.0782	0.2169
XP_015761680.1_aten_0.1.m1.24028.m1	0.2137	464.3	1398.7	0.5848	0.0605	0.1035
XP_015761691.1_aten_0.1.m1.36797.m1	0.1129	246.8	671.2	0.1552	0.0153	0.0984
XP_015761692.1_aten_0.1.m1.36802.m1	0.3282	303.8	1076.2	0.3232	0.0749	0.2317
XP_015761700.1_aten_0.1.m1.36792.m1	0.1252	165.1	515.9	0.3694	0.0295	0.0799
XP_015761706.1_aten_0.1.m1.36789.m1	0.0928	179.4	579.6	0.2810	0.0193	0.0686
XP_015761713.1_aten_0.1.m1.36782.m1	0.1367	192.1	572.9	0.5481	0.0378	0.0689
XP_015761720.1_aten_0.1.m1.36788.m1	0.2509	224.0	691.0	0.4974	0.0671	0.1348
XP_015761725.1_aten_0.1.m1.36783.m1	0.0789	267.8	875.2	0.1162	0.0095	0.0813
XP_015761733.1_aten_0.1.m1.36778.m1	0.1228	131.8	330.2	0.1460	0.0153	0.1051
XP_015761737.1_aten_0.1.m1.36772.m1	0.0836	449.6	1473.4	0.2159	0.0151	0.0698
XP_015761739.1_aten_0.1.m1.11710.m1	0.3548	258.5	803.5	0.2351	0.0660	0.2807
XP_015761741.1_aten_0.1.m1.11704.m1	0.9118	227.3	819.7	0.5148	0.2523	0.4901
XP_015761744.1_aten_0.1.m1.11729.m1	0.1771	618.5	1721.5	0.3220	0.0379	0.1178
XP_015761747.1_aten_0.1.m1.24621.m1	0.1788	612.2	1796.8	0.4179	0.0440	0.1053
XP_015761750.1_aten_0.1.m1.26287.m1	0.7069	114.6	434.4	0.5853	0.2053	0.3507
XP_015761753.1_aten_0.1.m1.29832.m1	0.6142	148.7	685.3	0.4163	0.1638	0.3934
XP_015761761.1_aten_0.1.m1.14879.m1	0.0665	257.1	1149.9	0.1274	0.0098	0.0772
XP_015761762.1_aten_0.1.m1.11694.m1	0.1123	55.4	253.6	0.0215	0.0041	0.1900
XP_015761770.1_aten_0.1.m1.11703.m1	0.2239	472.8	1414.2	0.3301	0.0495	0.1499
XP_015761772.1_aten_0.1.m1.11724.m1	0.0358	98.3	510.7	0.0738	0.0039	0.0535
XP_015761774.1_aten_0.1.m1.11720.m1	0.1388	183.8	608.2	0.2722	0.0285	0.1049
XP_015761781.1_aten_0.1.m1.11733.m1	0.1754	743.6	2046.4	0.3587	0.0396	0.1104
XP_015761782.1_aten_0.1.m1.11728.m1	0.2549	264.1	683.9	0.4720	0.0648	0.1373
XP_015761785.1_aten_0.1.m1.11727.m1	0.1025	105.3	299.7	0.2081	0.0172	0.0825
XP_015761787.1_aten_0.1.m1.14546.m1	0.4451	142.9	457.1	0.3347	0.1007	0.3009
XP_015761793.1_aten_0.1.m1.29822.m1	0.2777	162.4	542.6	0.5579	0.0783	0.1403
XP_015761794.1_aten_0.1.m1.29824.m1	0.2413	100.9	253.1	0.6158	0.0683	0.1109
XP_015761795.1_aten_0.1.m1.24678.m1	0.4228	261.7	824.3	0.9921	0.1406	0.1418
XP_015761797.1_aten_0.1.m1.14540.m1	0.3599	259.3	904.7	0.3404	0.0838	0.2462
XP_015761801.1_aten_0.1.m1.9964.m1	0.0697	164.2	543.8	0.6225	0.0204	0.0327
XP_015761804.1_aten_0.1.m1.9980.m1	0.0921	452.4	1491.6	0.2275	0.0171	0.0754
XP_015761806.1_aten_0.1.m1.26119.m1	0.1915	209.4	711.6	0.3593	0.0454	0.1264
XP_015761819.1_aten_0.1.m1.9961.m1	0.0936	1004.6	2847.4	0.1438	0.0122	0.0850
XP_015761820.1_aten_0.1.m1.9949.m1	0.0778	1013.3	2772.7	0.2811	0.0154	0.0548
XP_015761821.1_aten_0.1.m1.9958.m1	0.0684	568.9	1837.1	0.1801	0.0110	0.0610
XP_015761822.1_aten_0.1.m1.9948.m1	0.0778	657.6	1871.4	0.0792	0.0064	0.0814
XP_015761823.1_aten_0.1.m1.14548.m1	0.4404	387.4	1310.6	0.5559	0.1242	0.2234
XP_015761830.1_aten_0.1.m1.9969.m1	0.0376	292.8	754.2	0.0323	0.0013	0.0414
XP_015761837.1_aten_0.1.m1.9968.m1	0.2558	1004.6	3036.4	0.3795	0.0606	0.1598
XP_015761839.1_aten_0.1.m1.9960.m1	0.0946	400.7	1033.3	0.4603	0.0237	0.0516
XP_015761844.1_aten_0.1.m1.9972.m1	0.0678	401.4	1050.6	0.0392	0.0029	0.0742
XP_015761846.1_aten_0.1.m1.9973.m1	0.1213	313.6	916.4	0.2365	0.0222	0.0938
XP_015761847.1_aten_0.1.m1.9983.m1	0.0942	318.3	869.7	0.1361	0.0116	0.0854
XP_015761848.1_aten_0.1.m1.9971.m1	0.0918	120.2	359.8	0.1218	0.0109	0.0896
XP_015761849.1_aten_0.1.m1.9979.m1	0.1128	78.2	344.8	0.0752	0.0115	0.1526
XP_015761862.1_aten_0.1.m1.14882.m1	0.2367	337.9	946.1	0.5260	0.0638	0.1212
XP_015761875.1_aten_0.1.m1.1789.m1	0.1288	353.3	903.7	0.1681	0.0180	0.1069
XP_015761881.1_aten_0.1.m1.26691.m1	0.1037	464.3	1137.7	0.1839	0.0151	0.0822
XP_015761883.1_aten_0.1.m1.26690.m1	0.0942	289.2	811.8	0.0911	0.0087	0.0952
XP_015761884.1_aten_0.1.m1.26692.m1	0.9781	167.3	603.7	0.8102	0.3103	0.3829
XP_015761885.1_aten_0.1.m1.23834.m1	0.2418	413.4	1077.6	0.3404	0.0524	0.1540
XP_015761893.1_aten_0.1.m1.23833.m1	0.1166	1034.9	2610.1	0.5640	0.0319	0.0565
XP_015761896.1_aten_0.1.m1.23836.m1	0.1223	302.5	957.5	0.2650	0.0245	0.0924
XP_015761905.1_aten_0.1.m1.31730.m1	0.0664	455.0	1135.0	0.1846	0.0098	0.0530
XP_015761906.1_aten_0.1.m1.31731.m1	0.1568	160.3	382.7	0.3238	0.0323	0.0999
XP_015761909.1_aten_0.1.m1.31725.m1	0.0774	160.2	487.8	0.0209	0.0021	0.0982
XP_015761916.1_aten_0.1.m1.31728.m1	0.1788	361.6	1150.4	0.3004	0.0383	0.1274
XP_015761926.1_aten_0.1.m1.31718.m1	0.0979	792.8	1973.2	0.2604	0.0180	0.0691
XP_015761927.1_aten_0.1.m1.31717.m1	0.1095	481.7	1345.3	0.2182	0.0188	0.0860
XP_015761928.1_aten_0.1.m1.31720.m1	0.1194	105.1	329.9	0.2858	0.0248	0.0869
XP_015761933.1_aten_0.1.m1.31719.m1	0.1954	160.2	514.8	0.5880	0.0558	0.0950
XP_015761937.1_aten_0.1.m1.31709.m1	0.0523	96.9	353.1	0.0398	0.0028	0.0707
XP_015761946.1_aten_0.1.m1.31705.m1	0.1103	529.2	1396.8	0.3021	0.0225	0.0745
XP_015761948.1_aten_0.1.m1.31698.m1	0.1534	424.4	1294.6	0.2921	0.0320	0.1095
XP_015761955.1_aten_0.1.m1.31700.m1	0.1093	139.9	445.1	0.3401	0.0249	0.0732
XP_015761959.1_aten_0.1.m1.31104.m1	0.1078	607.8	2017.2	0.1500	0.0155	0.1036
XP_015761961.1_aten_0.1.m1.31106.m1	0.3648	373.6	1180.4	0.5287	0.1001	0.1894
XP_015761964.1_aten_0.1.m1.31112.m1	0.3538	365.8	999.2	0.4787	0.0913	0.1907
XP_015761965.1_aten_0.1.m1.31121.m1	0.2525	465.6	1331.4	0.4025	0.0608	0.1510
XP_015761967.1_aten_0.1.m1.31133.m1	0.1795	284.8	981.2	0.1954	0.0311	0.1589
XP_015761982.1_aten_0.1.m1.31102.m1	0.1187	2497.3	6628.7	0.3700	0.0270	0.0730
XP_015761983.1_aten_0.1.m1.31103.m1	0.1776	226.6	586.4	0.3234	0.0374	0.1156
XP_015761985.1_aten_0.1.m1.31108.m1	0.1197	144.8	329.2	0.8343	0.0376	0.0451
XP_015761989.1_aten_0.1.m1.31114.m1	0.2568	236.2	741.8	0.3225	0.0568	0.1761
XP_015761998.1_aten_0.1.m1.31128.m1	0.1440	290.2	639.8	0.1755	0.0195	0.1109
XP_015761999.1_aten_0.1.m1.31131.m1	0.1420	265.2	721.8	0.4008	0.0338	0.0842
XP_015762000.1_aten_0.1.m1.31126.m1	0.1574	256.5	703.5	0.1058	0.0161	0.1522
XP_015762003.1_aten_0.1.m1.31125.m1	0.1588	248.0	682.0	0.2660	0.0305	0.1146
XP_015762007.1_aten_0.1.m1.31135.m1	0.1355	335.2	894.8	0.3231	0.0288	0.0890
XP_015762017.1_aten_0.1.m1.20168.m1	0.2225	647.9	1998.1	0.4844	0.0588	0.1215
XP_015762020.1_aten_0.1.m1.8243.m1	0.3576	650.2	2022.8	0.5898	0.1020	0.1729
XP_015762021.1_aten_0.1.m1.17918.m1	0.0996	537.8	1589.2	0.1940	0.0162	0.0834
XP_015762024.1_aten_0.1.m1.17910.m1	0.2148	288.0	957.0	0.2737	0.0444	0.1621
XP_015762025.1_aten_0.1.m1.17906.m1	0.2573	145.7	496.3	0.4261	0.0657	0.1542
XP_015762027.1_aten_0.1.m1.17909.m1	0.2125	163.6	475.4	0.5269	0.0576	0.1093
XP_015762034.1_aten_0.1.m1.724.m1	0.0696	183.7	458.3	0.1490	0.0088	0.0591
XP_015762041.1_aten_0.1.m1.20166.m1	0.1275	327.3	785.7	0.3413	0.0271	0.0794
XP_015762057.1_aten_0.1.m1.17905.m1	0.1293	1116.0	3150.0	0.2951	0.0265	0.0899
XP_015762067.1_aten_0.1.m1.14367.m1	0.3872	434.5	1521.5	0.3489	0.0912	0.2615
XP_015762070.1_aten_0.1.m1.14363.m1	0.2200	771.2	2513.8	0.5665	0.0622	0.1097
XP_015762074.1_aten_0.1.m1.14350.m1	0.1666	1316.8	3639.2	0.2280	0.0292	0.1282
XP_015762083.1_aten_0.1.m1.17558.m1	3.6592	239.3	849.7	0.0724	0.3196	4.4155
XP_015762095.1_aten_0.1.m1.14382.m1	0.0631	196.5	700.5	0.1309	0.0086	0.0655
XP_015762096.1_aten_0.1.m1.14368.m1	0.0982	372.1	902.9	0.2405	0.0170	0.0708
XP_015762098.1_aten_0.1.m1.14361.m1	0.1304	478.8	1405.2	0.2980	0.0272	0.0912
XP_015762099.1_aten_0.1.m1.14359.m1	0.2969	430.6	1318.4	0.9220	0.0969	0.1051
XP_015762101.1_aten_0.1.m1.14360.m1	0.0582	261.3	725.7	0.0957	0.0055	0.0579
XP_015762110.1_aten_0.1.m1.14365.m1	0.0593	121.3	331.7	0.0010	0.0001	0.0737
XP_015762117.1_aten_0.1.m1.12568.m1	50.0000	100.8	376.2	0.0031	0.2412	
XP_015762120.1_aten_0.1.m1.14877.m1	0.0450	168.6	446.4	0.4697	0.0115	0.0244
XP_015762122.1_aten_0.1.m1.30007.m1	50.0000	348.5	1058.5	0.0039	0.2571	
XP_015762153.1_aten_0.1.m1.19683.m1	0.1278	394.9	1144.1	0.3966	0.0306	0.0772
XP_015762154.1_aten_0.1.m1.14537.m1	0.2106	71.6	219.4	1.0840	0.0716	0.0660
XP_015762156.1_aten_0.1.m1.19684.m1	0.1494	122.0	334.0	0.3636	0.0339	0.0933
XP_015762158.1_aten_0.1.m1.19686.m1	0.2110	134.1	462.9	0.5653	0.0600	0.1061
XP_015762159.1_aten_0.1.m1.19678.m1	0.1657	124.8	433.2	0.2738	0.0347	0.1266
XP_015762160.1_aten_0.1.m1.8059.m1	50.0000	246.8	755.2	0.0073	0.4800	
XP_015762161.1_aten_0.1.m1.19689.m1	0.0617	583.4	1564.6	0.0010	0.0001	0.0756
XP_015762162.1_aten_0.1.m1.31567.m1	0.0959	234.6	665.4	0.2329	0.0172	0.0739
XP_015762164.1_aten_0.1.m1.31575.m1	0.0983	246.1	767.9	0.2421	0.0186	0.0770
XP_015762186.1_aten_0.1.m1.16888.m1	0.1292	540.0	1620.0	0.3596	0.0298	0.0829
XP_015762204.1_aten_0.1.m1.23043.m1	0.1733	478.8	1621.2	0.2515	0.0344	0.1368
XP_015762213.1_aten_0.1.m1.23060.m1	0.1047	317.0	865.0	0.2897	0.0211	0.0727
XP_015762223.1_aten_0.1.m1.23037.m1	0.3174	203.0	760.0	0.2649	0.0668	0.2520
XP_015762229.1_aten_0.1.m1.23033.m1	0.5522	230.5	681.5	0.4070	0.1345	0.3306
XP_015762237.1_aten_0.1.m1.14541.m1	0.3620	83.4	270.6	0.2868	0.0761	0.2653
XP_015762260.1_aten_0.1.m1.14545.m1	0.1013	637.6	1888.4	0.0613	0.0069	0.1133
XP_015762262.1_aten_0.1.m1.8530.m1	0.6360	792.7	2525.3	0.4394	0.1625	0.3698
XP_015762265.1_aten_0.1.m1.8522.m1	0.1294	733.8	2206.2	0.1476	0.0177	0.1197
XP_015762266.1_aten_0.1.m1.8526.m1	0.1063	88.2	328.8	0.3121	0.0242	0.0774
XP_015762270.1_aten_0.1.m1.10115.m1	0.5731	271.9	814.1	1.3678	0.2048	0.1497
XP_015762271.1_aten_0.1.m1.10116.m1	0.4689	204.6	704.4	0.4212	0.1194	0.2834
XP_015762274.1_aten_0.1.m1.14875.m1	0.0544	228.3	821.7	0.0153	0.0012	0.0791
XP_015762276.1_aten_0.1.m1.8531.m1	0.1088	233.3	564.7	0.0680	0.0072	0.1065
XP_015762281.1_aten_0.1.m1.8521.m1	0.2717	212.5	675.5	0.3579	0.0634	0.1771
XP_015762319.1_aten_0.1.m1.10117.m1	0.1445	251.0	829.0	0.6123	0.0420	0.0685
XP_015762320.1_aten_0.1.m1.10122.m1	0.1984	130.6	406.4	1.7874	0.0741	0.0414
XP_015762321.1_aten_0.1.m1.26038.m1	1.6586	119.5	390.5	0.2868	0.3493	1.2178
XP_015762326.1_aten_0.1.m1.10114.m1	1.0376	198.6	623.4	0.5396	0.2868	0.5314
XP_015762332.1_aten_0.1.m1.21596.m1	0.1198	313.1	883.9	1.1025	0.0409	0.0371
XP_015762335.1_aten_0.1.m1.10873.m1	0.4974	135.4	473.6	0.3125	0.1113	0.3563
XP_015762336.1_aten_0.1.m1.17502.m1	0.1754	744.0	2100.0	0.3590	0.0399	0.1110
XP_015762337.1_aten_0.1.m1.17505.m1	0.1233	780.9	2171.1	0.1495	0.0164	0.1097
XP_015762339.1_aten_0.1.m1.17513.m1	0.1299	230.0	709.0	0.2038	0.0221	0.1085
XP_015762340.1_aten_0.1.m1.17508.m1	0.1694	988.9	3052.1	0.2287	0.0309	0.1353
XP_015762342.1_aten_0.1.m1.17519.m1	0.1532	644.4	1800.6	0.3565	0.0346	0.0971
XP_015762343.1_aten_0.1.m1.17537.m1	0.2955	325.5	1102.5	0.3278	0.0671	0.2048
XP_015762344.1_aten_0.1.m1.17535.m1	1.2286	275.9	936.1	0.4141	0.3098	0.7481
XP_015762362.1_aten_0.1.m1.17507.m1	0.1237	272.1	921.9	0.1349	0.0168	0.1242
XP_015762367.1_aten_0.1.m1.17521.m1	0.1048	378.5	845.5	0.1208	0.0107	0.0890
XP_015762389.1_aten_0.1.m1.17525.m1	0.1080	199.8	580.2	0.2431	0.0200	0.0824
XP_015762390.1_aten_0.1.m1.17540.m1	0.0859	524.1	1473.9	0.0419	0.0041	0.0976
XP_015762392.1_aten_0.1.m1.17533.m1	0.0945	453.0	1263.0	0.0728	0.0072	0.0992
XP_015762397.1_aten_0.1.m1.17534.m1	0.1244	519.2	1418.8	0.3290	0.0268	0.0815
XP_015762399.1_aten_0.1.m1.17541.m1	0.0942	319.8	892.2	0.1636	0.0134	0.0817
XP_015762401.1_aten_0.1.m1.14983.m1	0.1703	354.4	917.6	0.4499	0.0423	0.0941
